"_id","","Agency","Date","Job","Name","Tweet","Twitter_Handle","tweet_URL"
"5bb538bb196d4c9199167c67",,"Federal Communications Commission","4/24/12 7:52","Public Affairs Specialist","Tina Gray Pelkey","I can believe this :) A study of mobile phone calls suggests that women call their spouse more than any other person. http://t.co/USdv1jaC","@tinapelkey","http://twitter.com/@tinapelkey/status/194695289712558080"
"5bb538bb196d4c9199167f66",,"Veterans Affairs","11/12/13 21:33","Press Secretary","Curtis E. Cashour","RT @aarondiamant: We uncover staggering cost of malpractice claims against VA hospitals. The men and women who paid ultimate price at 5 #ws…","@CurtCashour","http://twitter.com/@CurtCashour/status/400375928737378304"
"5bb538bb196d4c9199167f92",,"Veterans Affairs","10/18/12 23:38","Press Secretary","Curtis E. Cashour","VIDEO - Former Lt. Gov. Kerry Healey: @MittRomney championed women in his administration. http://t.co/9DU5godX #WomenForMitt","@CurtCashour","http://twitter.com/@CurtCashour/status/259075986547675136"
"5bb538bb196d4c9199168016",,"Veterans Affairs","6/19/12 22:55","Press Secretary","Curtis E. Cashour","RT @CfieldGOPHQ: Our Chesterfield women are #smilinganddialing for Romney tonight! Way to go! http://t.co/B0yF820p","@CurtCashour","http://twitter.com/@CurtCashour/status/215216362430279680"
"5bb538bc196d4c9199168217",,"Health and Human Services","9/22/16 21:22","Regional Director IV Atlanta","Renee Louise-Jacisin Ellmers","Great discussion in hearing on barriers women face in workforce. VIDEO: https://t.co/TxFKTX7VT7… https://t.co/tAha73rA8u","@RepReneeEllmers","http://twitter.com/@RepReneeEllmers/status/779068420264431617"
"5bb538bc196d4c9199168219",,"Health and Human Services","9/22/16 15:46","Regional Director IV Atlanta","Renee Louise-Jacisin Ellmers","Watch LIVE at 1:15 ET --&gt; Hearing re empowering women in the workforce: https://t.co/TxFKTX7VT7  #GOPWorking4Women https://t.co/Fyq9MI2I8b","@RepReneeEllmers","http://twitter.com/@RepReneeEllmers/status/778983851045584896"
"5bb538bc196d4c919916829a",,"Health and Human Services","3/31/16 18:03","Regional Director IV Atlanta","Renee Louise-Jacisin Ellmers","RT @HouseGOP: .@RepReneeEllmers: ""GOP women in Congress are making history in a variety of ways."" https://t.co/GGCKaNFGJ9 #WomensHistoryMon…","@RepReneeEllmers","http://twitter.com/@RepReneeEllmers/status/715600376867778564"
"5bb538bc196d4c91991682f1",,"Health and Human Services","1/13/16 20:29","Regional Director IV Atlanta","Renee Louise-Jacisin Ellmers","My statement following USPSTF release of recommendations on mammography screenings for women b/t ages of 40 &amp; 49: https://t.co/UlShuAz4qQ","@RepReneeEllmers","http://twitter.com/@RepReneeEllmers/status/687370895497781249"
"5bb538bc196d4c91991682fe",,"Health and Human Services","1/8/16 15:30","Regional Director IV Atlanta","Renee Louise-Jacisin Ellmers","Have really enjoyed discussing the Women2Women tour &amp; empowering women w/fellow GOP colleagues &amp; @MainStreetSarah https://t.co/zJ9o0RmXc3","@RepReneeEllmers","http://twitter.com/@RepReneeEllmers/status/685483824424292353"
"5bb538bc196d4c9199168329",,"Health and Human Services","11/18/15 19:14","Regional Director IV Atlanta","Renee Louise-Jacisin Ellmers","ICYMI - recent op-ed by @tigerlilycares prez Karmo re need for #PALSAct: https://t.co/MdtGilrc2Y…/259877-misguided-guidelines-lead-women…","@RepReneeEllmers","http://twitter.com/@RepReneeEllmers/status/667058299930607616"
